RUN;DV;PATERNO;MATERNO;NOMBRES:;MAIL PERSONAL;MAIL INSTITUCIONAL;TELÉFONO;CONTRATO;JORNADA DIURNO;JORNADA VESPERTINO;DEDICACIÓN;GRADO ACADÉMICO;JERARQUÍA;CARGO
16559195;8;MOREIRA ;VALDIVIA;JUAN JOSE;MOREIRA .VALDIVIA@llimail.kom;JJ.MOREIRA @lamejor.cl;968075932;HONORARIO;;vespertino;10;MAGISTER;PROFESOR ASOCIADO DOCENTE;
7068430;5;RIVEROS ;VERDUGO;IRINA SANTIAGO;RIVEROS .VERDUGO@llimail.kom;IS.RIVEROS @lamejor.cl;958929226;HONORARIO;diurno;;10;MAGISTER;INSTRUCTOR DOCENTE;
21437179;0;VALLEJOS;PICCIRILLI;CHRISTOPHER ROMINA;VALLEJOS.PICCIRILLI@llimail.kom;CR.VALLEJOS@lamejor.cl;940682291;HONORARIO;;vespertino;10;0;;
4225328;19;DELOOZ;SANTANDER;ALFRED VICTORIA;DELOOZ.SANTANDER@llimail.kom;AV.DELOOZ@lamejor.cl;961190928;HONORARIO;diurno;;10;MAGISTER;ASISTENTE DOCENTE;
21167932;0;SEURA;CONTRERAS;ARIEL CONRAD;SEURA.CONTRERAS@llimail.kom;AC.SEURA@lamejor.cl;931489685;HONORARIO;diurno;;10;MAGISTER;INSTRUCTOR DOCENTE;
10954998;7;VARAS;FIGUEROA ;BRACEY ALFONSO;VARAS.FIGUEROA @llimail.kom;BA.VARAS@lamejor.cl;;FULL TIME;diurno;;20;DOCTORA;COMISIÓN SUPERIOR ASOCIADA DOCENTE;Profesor 1/2 Jornada
7055711;6;LARROUCAU;FERNANDEZ;TAMARA GASTÓN;LARROUCAU.FERNANDEZ@llimail.kom;TG.LARROUCAU@lamejor.cl;958039689;HONORARIO;diurno;;10;MAGISTER;;
12473544;8;MARCELLI;SARRÁS;EDUARDO JIMENA;MARCELLI.SARRÁS@llimail.kom;EJ.MARCELLI@lamejor.cl;978387807;HONORARIO;diurno;;10;MAGISTER;INSTRUCTOR DOCENTE;
5279196;9;CORTES;CÚNEO;KATHERINE CONRAD;CORTES.CÚNEO@llimail.kom;KC.CORTES@lamejor.cl;969120053;FULL TIME;;;20;MAGISTER;SIN JERARQUIZAR;Profesor 1/2 Jornada
8112732;k;LABARCA;CHACAMA;EDUARDO HORTENCIA;LABARCA.CHACAMA@llimail.kom;EH.LABARCA@lamejor.cl;931209280;FULL TIME;diurno;vespertino;40;MAGISTER;PROFESOR TITULAR DOCENTE;Profesor por Jornada
8816386;2;DELOOZ;VOLOCHINSKY;LORAYNE TANIA;DELOOZ.VOLOCHINSKY@llimail.kom;LT.DELOOZ@lamejor.cl;915883936;HONORARIO;diurno;;10;MAGISTER;;
4086011;0;CASALS;COVARRUBIAS;ENRIQUE ROMINA;CASALS.COVARRUBIAS@llimail.kom;ER.CASALS@lamejor.cl;971911719;HONORARIO;diurno;;10;MAGISTER;PROFESOR ASISTENTE DOCENTE;
18750355;21;VALENCIA;CASTILLO;ERICK NATALIA;;EN.VALENCIA@lamejor.cl;;HONORARIO;;;;;;
17072598;4;B0BADILLA;LAZCANO;ESTEBAN VICTORIA;B0BADILLA.LAZCANO@llimail.kom;EV.B0BADILLA@lamejor.cl;963672441;HONORARIO;diurno;vespertino;JORNADA;MAGISTER;PROFESOR TITULAR DOCENTE;
8039135;3;GARRIDO;GARRIDO  ;ALDO HELEN;GARRIDO.GARRIDO  @llimail.kom;AH.GARRIDO@lamejor.cl;921731181;HONORARIO;diurno;;10;MAGISTER;;
20526336;5;REYES;OLIVO;CRISTIAN LUTECIA;REYES.OLIVO@llimail.kom;CL.REYES@lamejor.cl;922902799;HONORARIO;diurno;;10;MAGISTER;;
20803733;3;ELEXPURU;MUNITA;ROSA GLORIA;ELEXPURU.MUNITA@llimail.kom;RG.ELEXPURU@lamejor.cl;942380145;HONORARIO;;vespertino;10;LICENCIATURA;PROFESOR ASISTENTE DOCENTE;
9017176;1;NÚÑEZ;MARIN ;GABRIEL ISABEL;NÚÑEZ.MARIN @llimail.kom;GI.NÚÑEZ@lamejor.cl;930216554;HONORARIO;diurno;;10;MAGISTER;;
6014931;8;NASH;GOTSCHLICH ;CONRAD SANTIAGO;NASH.GOTSCHLICH @llimail.kom;CS.NASH@lamejor.cl;976374660;FULL TIME;diurno;;40;MAGISTER;;Coord. de Clínica 
6195466;9;LIRA;CASTRO ;BRAULIO VIVIAN;LIRA.CASTRO @llimail.kom;BV.LIRA@lamejor.cl;926656284;HONORARIO;;vespertino;10;0;PROFESOR ASOCIADO DOCENTE;
10322950;22;ESCUDERO;REBOLLEDO;MAURIZIO SERGIO;;MS.ESCUDERO@lamejor.cl;;HONORARIO;;;10;;TITULAR DOCENTE;
8794104;2;RIVEROS ;ITURRA;ALFRED ESTEBAN;RIVEROS .ITURRA@llimail.kom;AE.RIVEROS @lamejor.cl;974769306;HONORARIO;;;10;;ASISTENTE DOCENTE;
19792684;k;DEVIA;ZAMORA;MIGUEL CATALINA;DEVIA.ZAMORA@llimail.kom;MC.DEVIA@lamejor.cl;974769306;HONORARIO;diurno;;10;MAGISTER;;
8800536;K;BRONDI;CATALÁN;HUGO MARITZA;BRONDI.CATALÁN@llimail.kom;HM.BRONDI@lamejor.cl;974769306;HONORARIO;diurno;;10;MAGISTER;INSTRUCTOR DOCENTE;
15314589;4;AGUIRRE ;BARRIA;IRINA MARITZA;AGUIRRE .BARRIA@llimail.kom;IM.AGUIRRE @lamejor.cl;974769306;FULL TIME;diurno;;20;MAGISTER;;Profesor 1/2 Jornada
3824847;1;ALBORNOZ;DÍAZ;PAULINA RAÚL;ALBORNOZ.DÍAZ@llimail.kom;PR.ALBORNOZ@lamejor.cl;974769306;HONORARIO;;vespertino;10;MAGISTER;SIN JERARQUIZAR;
13631470;2;FUENZALIDA;VARGAS;NATALIA FEDERICO;FUENZALIDA.VARGAS@llimail.kom;NF.FUENZALIDA@lamejor.cl;974769306;HONORARIO;diurno;;10;LICENCIATURA;;
6129243;0;GONZALEZ;RODRIGUEZ;GEMITA RUBEN;GONZALEZ.RODRIGUEZ@llimail.kom;GR.GONZALEZ@lamejor.cl;974769306;HONORARIO;diurno;vespertino;10;MAGISTER;PROFESOR ASISTENTE DOCENTE;
9071125;3;SCHEAFER;ORELLANA;EMILIE ROBERTO;SCHEAFER.ORELLANA@llimail.kom;ER.SCHEAFER@lamejor.cl;974769306;FULL TIME;diurno;vespertino;40;DOCTOR;ASOCIADO REGULAR;Académico Investigador
3971624;K;PONCE DE LEON;LOEBENFELDER;RENZO MYLENE;PONCE DE LEON.LOEBENFELDER@llimail.kom;RM.PONCE DE LEON@lamejor.cl;974769306;FULL TIME;;vespertino;40;DOCTOR;ASISTENTE REGULAR;Coordinador de Investigacion
8220024;6;YOUNG;GALLARDO;JUAN ENRIQUE;YOUNG.GALLARDO@llimail.kom;JE.YOUNG@lamejor.cl;974769306;HONORARIO;diurno;vespertino;10;LICENCIATURA;PROFESOR ASOCIADO DOCENTE;
12881699;K;MORAGA;ULLOA;JOSÉ JIMENA;MORAGA.ULLOA@llimail.kom;JJ.MORAGA@lamejor.cl;974769306;FULL TIME;diurno;vespertino;40;MAGISTER;PROFESOR ASOCIADO DOCENTE;Profesor por Jornada
9619937;9;COPPELLI;PAREDES;CARLOS VIVIAN;COPPELLI.PAREDES@llimail.kom;CV.COPPELLI@lamejor.cl;974769306;HONORARIO;;vespertino;10;MAGISTER;ASISTENTE DOCENTE;
16535162;0;MUNITA;IGOR;LUTECIA PAOLA;MUNITA.IGOR@llimail.kom;LP.MUNITA@lamejor.cl;974769306;FULL TIME;diurno;;40;LICENCIATURA;INSTRUCTOR REGULAR;Coordinador (a) Postgrados
5783960;2;VILLAVICENCIO;PINTO;NAIARA ALEJANDRA;VILLAVICENCIO.PINTO@llimail.kom;NA.VILLAVICENCIO@lamejor.cl;974769306;HONORARIO;;;10;;SIN JERARQUIZAR;
20034372;8;FARÍAS;ZILLMANN;BEATRIZ HERNÁN;FARÍAS.ZILLMANN@llimail.kom;BH.FARÍAS@lamejor.cl;974769306;HONORARIO;diurno;vespertino;10;MAGISTER;INSTRUCTOR DOCENTE;
13045184;2;VARAS;FUENTES ;RICARDO NELSON;VARAS.FUENTES @llimail.kom;RN.VARAS@lamejor.cl;974769306;HONORARIO;;vespertino;10;MAGISTER;PROFESOR ASISTENTE DOCENTE;
8495260;1;AGUIRRE ;KUSCH;ENRIQUE ANDREA;AGUIRRE .KUSCH@llimail.kom;EA.AGUIRRE @lamejor.cl;974769306;HONORARIO;diurno;;10;LICENCIATURA;PROFESOR TITULAR DOCENTE;
6196352;K;DUARTE;PARRA;RAÚL FERNANDA;DUARTE.PARRA@llimail.kom;RF.DUARTE@lamejor.cl;974769306;HONORARIO;diurno;vespertino;JORNADA;DOCTOR;PROFESOR ASOCIADO REGULAR;
21387934;3;PICA;MERCAIDO;JAIME CLAUDIO;PICA.MERCAIDO@llimail.kom;JC.PICA@lamejor.cl;974769306;FULL TIME;diurno;vespertino;40;MAGISTER;PROFESOR ASISTENTE REGULAR;Profesor por Jornada
16576301;5;PARISI;FIGUEROA ;FELIPE KATHERINE;PARISI.FIGUEROA @llimail.kom;FK.PARISI@lamejor.cl;974769306;FULL TIME;diurno;vespertino;40;MAGISTER;;Secretario(a) Estudios
6441184;23;MILLA;NOVOA;ROLANDO SERGIO;;RS.MILLA@lamejor.cl;;HONORARIO;;;;;INSTRUCTORA DOCENTE;
10837577;9;BUSTOS;BAHAMONDE;EDUARDO SANTIAGO;BUSTOS.BAHAMONDE@llimail.kom;ES.BUSTOS@lamejor.cl;974769306;FULL TIME;diurno;;40;MAGISTER;;Director(a) Carrera (i)
18717911;K;BERMUDEZ;MICHEA;DANIEL MARÍA;BERMUDEZ.MICHEA@llimail.kom;DM.BERMUDEZ@lamejor.cl;974769306;FULL TIME;diurno;;20;MAGISTER;PROFESOR ASOCIADO DOCENTE;Profesor 1/2 Jornada
12138847;1;VALENZUELA ;SEURA;ANDRES YANET;VALENZUELA .SEURA@llimail.kom;AY.VALENZUELA @lamejor.cl;974769306;FULL TIME;;vespertino;40;MAGISTER;;Profesor por Jornada
17242480;8;VALDES;SILVA;FEDERICO SERGIO;VALDES.SILVA@llimail.kom;FS.VALDES@lamejor.cl;974769306;HONORARIO;diurno;;10;MAGISTER;;
12709375;8;GÓMEZ;MUNITA;EMILIO RODRIGO;GÓMEZ.MUNITA@llimail.kom;ER.GÓMEZ@lamejor.cl;974769306;HONORARIO;diurno;;10;LICENCIATURA;ASISTENTE DOCENTE;
18632941;0;OLAVE;DEVIA;EUGENIO PAOLA;OLAVE.DEVIA@llimail.kom;EP.OLAVE@lamejor.cl;974769306;HONORARIO;diurno;;10;MAGISTER;;
21043338;24;MIROSEVIC;MATURANA;PAULA SERGIO;;PS.MIROSEVIC@lamejor.cl;;HONORARIO;;;;;INSTRUCTORA DOCENTE;
9796644;6;GREZ;SEURA;VICTORIA HORTENCIA;GREZ.SEURA@llimail.kom;VH.GREZ@lamejor.cl;974769306;HONORARIO;;vespertino;10;LICENCIATURA;;
15076521;1;MONDACA;CORTÉS;ROCÍO CRISTINA;MONDACA.CORTÉS@llimail.kom;RC.MONDACA@lamejor.cl;974769306;FULL TIME;diurno;;40;MAGISTER;PROFESORA ASISTENTE DOCENTE;Director(a) Carrera
11049110;3;GALDAMES;ALARCÓN;CONRAD MARÍA-JOSÉ;GALDAMES.ALARCÓN@llimail.kom;CM.GALDAMES@lamejor.cl;974769306;HONORARIO;diurno;;10;LICENCIATURA;PROFESOR TITULAR DOCENTE;
12647518;7;PASTOR;PLAZA;CATALINA ÁNGELA;PASTOR.PLAZA@llimail.kom;CÁ.PASTOR@lamejor.cl;974769306;HONORARIO;;vespertino;10;MAGISTER;PROFESOR ASISTENTE DOCENTE;
9461004;9;MUÑOZ;KUSCH;NAIARA RICHARD;MUÑOZ.KUSCH@llimail.kom;NR.MUÑOZ@lamejor.cl;974769306;HONORARIO;diurno;vespertino;10;LICENCIATURA;INSTRUCTOR DOCENTE;
14712196;6;GONZALEZ;WILSON;NEVILLE DEL;GONZALEZ.WILSON@llimail.kom;ND.GONZALEZ@lamejor.cl;974769306;FULL TIME;diurno;;40;DOCTOR;;Profesor por Jornada
20095661;1;VIANA;REYES;JIMENA XIMENA;VIANA.REYES@llimail.kom;JX.VIANA@lamejor.cl;974769306;HONORARIO;;;10;;;
